hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,110,2015,July,31,28,2,8,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,6,,0,Transient,90.95,0,1,Check-Out,07-08-2015
Resort Hotel,0,5,2015,August,32,8,2,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,,0,Transient,157.59,0,1,Check-Out,11-08-2015
Resort Hotel,0,34,2015,August,33,9,2,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,211,0,1,Check-Out,13-08-2015
Resort Hotel,0,30,2015,August,33,10,1,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,,0,Transient,211,0,0,Check-Out,13-08-2015
Resort Hotel,0,2,2015,August,33,15,2,2,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,,0,Transient,242.5,0,0,Check-Out,19-08-2015
Resort Hotel,0,0,2015,August,34,20,0,1,1,0,0,BB,USA,Direct,Direct,0,0,0,G,G,1,No Deposit,,,0,Transient,200,0,0,Check-Out,21-08-2015
Resort Hotel,0,4,2015,September,36,2,0,4,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,154.25,0,0,Check-Out,06-09-2015
Resort Hotel,0,25,2015,September,36,5,1,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240,,0,Transient,139.5,1,1,Check-Out,07-09-2015
Resort Hotel,0,119,2015,September,39,23,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,241,,0,Transient,56.98,0,1,Check-Out,25-09-2015
Resort Hotel,0,69,2015,October,41,5,1,1,2,0,0,HB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242,,0,Transient,88,0,1,Check-Out,07-10-2015
Resort Hotel,0,130,2015,October,42,16,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,F,E,0,No Deposit,241,,0,Transient,98.4,1,0,Check-Out,18-10-2015
Resort Hotel,0,2,2015,October,44,29,0,2,1,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,,0,Transient,35.1,0,1,Check-Out,31-10-2015
Resort Hotel,0,25,2015,October,44,30,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,56,0,0,Check-Out,01-11-2015
Resort Hotel,0,54,2015,October,44,31,0,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,241,,0,Transient,38.81,1,1,Check-Out,01-11-2015
Resort Hotel,0,11,2015,November,45,6,0,1,1,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240,,0,Transient,44.1,0,1,Check-Out,07-11-2015
Resort Hotel,0,23,2016,January,3,14,0,1,2,0,0,BB,USA,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,48,0,0,Check-Out,15-01-2016
Resort Hotel,1,44,2016,May,19,6,2,3,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,95,0,0,Canceled,23-03-2016
Resort Hotel,1,54,2016,May,20,13,0,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,86,0,0,Canceled,29-03-2016
Resort Hotel,1,46,2016,May,22,22,1,0,1,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,90,0,0,Canceled,05-05-2016
Resort Hotel,1,18,2016,May,22,27,0,2,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,,0,Transient,139,0,1,Canceled,14-05-2016
Resort Hotel,1,18,2016,May,22,27,0,2,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,,0,Transient,145,0,1,Canceled,14-05-2016
Resort Hotel,1,34,2016,June,23,2,0,3,1,0,0,BB,USA,Direct,Direct,0,0,0,F,F,0,No Deposit,250,,0,Transient,145,0,0,Canceled,30-04-2016
Resort Hotel,1,3,2016,June,26,22,0,1,2,0,0,HB,USA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,171,0,0,Canceled,19-06-2016
Resort Hotel,1,24,2016,July,28,7,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,171,0,1,Canceled,23-06-2016
Resort Hotel,1,22,2016,July,28,9,2,1,2,0,0,BB,USA,Direct,Direct,0,0,0,H,H,0,No Deposit,250,,0,Transient,224,0,0,Canceled,20-06-2016
Resort Hotel,1,114,2016,July,30,21,1,3,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,240,,0,Transient,240,0,0,Canceled,29-03-2016
Resort Hotel,1,114,2016,July,30,21,1,3,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240,,0,Transient,207,0,0,Canceled,29-03-2016
Resort Hotel,1,114,2016,July,30,21,1,3,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240,,0,Transient,207,0,0,Canceled,29-03-2016
Resort Hotel,1,114,2016,July,30,21,2,3,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,240,,0,Transient,240,0,0,Canceled,21-06-2016
Resort Hotel,1,114,2016,July,30,21,2,3,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240,,0,Transient,207,0,0,Canceled,21-06-2016
Resort Hotel,1,114,2016,July,30,21,2,3,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240,,0,Transient,207,0,0,Canceled,21-06-2016
Resort Hotel,1,22,2016,July,31,29,0,2,2,0,0,BB,USA,Direct,Direct,0,0,0,F,F,2,No Deposit,250,,0,Transient,209.1,0,0,Canceled,20-07-2016
Resort Hotel,1,91,2016,August,33,7,2,3,3,1,0,BB,USA,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,,0,Transient,273,0,0,Canceled,26-07-2016
Resort Hotel,1,22,2016,August,33,8,1,3,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,231,0,0,Canceled,22-07-2016
Resort Hotel,1,22,2016,August,33,8,1,3,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,219,0,0,Canceled,22-07-2016
Resort Hotel,1,77,2016,August,34,18,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240,,0,Transient,214,0,0,Canceled,25-06-2016
Resort Hotel,1,26,2016,August,34,20,1,1,3,1,0,BB,USA,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,,0,Transient,304,0,0,Canceled,30-07-2016
Resort Hotel,1,123,2016,August,36,28,2,3,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,189.8,0,0,Canceled,23-07-2016
Resort Hotel,1,124,2016,August,36,29,1,3,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240,,0,Transient,188.5,0,0,Canceled,23-07-2016
Resort Hotel,0,542,2016,September,40,26,3,7,2,0,0,SC,USA,Groups,TA/TO,0,0,0,A,I,1,No Deposit,253,,0,Transient-Party,22.4,0,0,Check-Out,06-10-2016
Resort Hotel,1,36,2016,September,40,27,0,2,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,,0,Transient,169,0,0,Canceled,29-08-2016
Resort Hotel,1,69,2016,September,40,30,0,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,139,0,0,Canceled,23-07-2016
Resort Hotel,1,139,2016,December,49,1,1,3,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,55.8,0,0,Canceled,19-07-2016
Resort Hotel,1,135,2016,December,49,1,1,3,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,55.8,0,1,Canceled,13-11-2016
Resort Hotel,1,75,2016,December,50,6,0,5,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,37.8,0,0,No-Show,06-12-2016
Resort Hotel,1,76,2016,December,52,24,1,1,2,0,0,BB,USA,Direct,Direct,0,0,0,G,G,0,No Deposit,250,,0,Transient,73.8,0,2,Canceled,31-10-2016
Resort Hotel,1,40,2017,February,7,12,2,3,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,48,0,0,Canceled,03-01-2017
Resort Hotel,1,40,2017,February,7,12,2,3,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,48,0,0,Canceled,03-01-2017
Resort Hotel,1,73,2017,February,8,19,2,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,42,0,0,Canceled,08-12-2016
Resort Hotel,1,211,2017,March,10,9,0,1,1,0,0,BB,USA,Direct,Direct,0,0,0,A,A,0,No Deposit,250,,0,Transient,33.3,0,0,No-Show,09-03-2017
Resort Hotel,1,133,2017,March,11,13,1,0,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,240,,0,Transient,42,0,2,Canceled,03-11-2016
Resort Hotel,1,255,2017,April,14,3,1,0,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,54,0,2,Canceled,08-01-2017
Resort Hotel,1,192,2017,April,14,4,2,5,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,68.57,0,1,Canceled,25-09-2016
Resort Hotel,1,55,2017,April,15,14,1,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,98.33,0,0,Canceled,20-02-2017
Resort Hotel,1,28,2017,April,16,19,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,100,0,1,Canceled,24-03-2017
Resort Hotel,1,16,2017,April,17,29,1,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,111,0,0,Canceled,18-04-2017
Resort Hotel,1,94,2017,May,18,3,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,115,0,2,Canceled,10-04-2017
Resort Hotel,1,7,2017,May,19,9,0,2,1,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,85,0,1,Canceled,02-05-2017
Resort Hotel,1,7,2017,May,19,9,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,85,0,1,Canceled,02-05-2017
Resort Hotel,1,201,2017,May,19,13,1,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,76.5,0,1,Canceled,26-10-2016
Resort Hotel,1,201,2017,May,19,13,1,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,76.5,0,1,Canceled,26-10-2016
Resort Hotel,1,201,2017,May,19,13,1,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,76.5,0,1,Canceled,26-10-2016
Resort Hotel,1,259,2017,May,21,21,2,2,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,,0,Transient,130,0,0,Canceled,23-11-2016
Resort Hotel,1,16,2017,May,21,25,0,3,2,1,0,BB,USA,Direct,Direct,0,0,0,F,F,0,No Deposit,250,,0,Transient,190,0,0,Canceled,10-05-2017
Resort Hotel,1,2,2017,June,22,3,1,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,120,0,1,Canceled,02-06-2017
Resort Hotel,1,12,2017,June,24,13,0,3,2,0,0,HB,USA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,202,0,1,Canceled,02-06-2017
Resort Hotel,1,175,2017,June,24,14,0,3,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,140,0,1,Canceled,08-03-2017
Resort Hotel,1,77,2017,June,24,17,2,5,2,2,0,Undefined,USA,Direct,Direct,0,0,0,G,G,1,No Deposit,250,,0,Transient,311,0,2,Canceled,04-04-2017
Resort Hotel,1,57,2017,June,25,20,0,3,2,2,0,HB,USA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,,0,Transient,288,0,0,Canceled,24-04-2017
Resort Hotel,1,244,2017,June,25,22,1,3,2,0,0,HB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,127.8,0,2,Canceled,09-06-2017
Resort Hotel,1,244,2017,June,25,22,1,3,2,0,0,HB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,127.8,0,2,Canceled,09-06-2017
Resort Hotel,1,103,2017,June,26,25,2,1,2,0,0,BB,USA,Direct,Direct,0,0,0,G,G,2,No Deposit,250,,0,Transient,209,0,1,Canceled,19-06-2017
Resort Hotel,1,116,2017,June,26,26,1,3,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,120,0,0,Canceled,21-03-2017
Resort Hotel,1,59,2017,July,26,1,2,1,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,,0,Transient,250,0,0,Canceled,06-05-2017
Resort Hotel,1,171,2017,July,27,2,2,1,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,,0,Transient,180,0,0,Canceled,12-01-2017
Resort Hotel,1,133,2017,July,27,3,1,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,140,0,1,Canceled,08-05-2017
Resort Hotel,1,135,2017,July,28,14,1,2,2,2,0,BB,USA,Direct,Direct,0,0,0,C,C,0,No Deposit,250,,0,Transient,198.33,0,2,No-Show,14-07-2017
Resort Hotel,1,4,2017,July,30,28,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,192.5,0,2,Canceled,28-07-2017
Resort Hotel,1,119,2017,August,31,5,2,2,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,240,,0,Transient,269,0,2,Canceled,20-04-2017
Resort Hotel,1,153,2017,August,32,8,0,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,220,0,1,Canceled,11-07-2017
Resort Hotel,1,161,2017,August,32,11,1,2,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,240,,0,Transient,300,0,1,Canceled,06-07-2017
Resort Hotel,1,188,2017,August,33,14,1,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,204.67,0,1,Canceled,03-03-2017
Resort Hotel,1,76,2017,August,33,18,2,3,2,0,0,BB,USA,Direct,Direct,0,0,0,E,E,0,No Deposit,250,,0,Transient,265,0,1,Canceled,04-08-2017
Resort Hotel,1,160,2017,August,33,19,2,3,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,238,0,0,Canceled,12-03-2017
Resort Hotel,1,160,2017,August,33,19,2,3,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,238,0,0,Canceled,12-03-2017
Resort Hotel,1,17,2017,August,34,26,1,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,240,0,2,Canceled,23-08-2017
Resort Hotel,1,51,2017,August,35,27,2,0,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,,0,Transient,290,0,1,Canceled,11-07-2017
Resort Hotel,1,51,2017,August,35,27,2,0,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,,0,Transient,290,0,1,Canceled,07-07-2017
Resort Hotel,1,74,2017,August,35,30,0,3,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,240,,0,Transient,233.33,0,1,Canceled,04-08-2017
Resort Hotel,0,0,2015,July,28,5,1,0,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,,0,Group,153,0,0,Check-Out,06-07-2015
Resort Hotel,0,41,2015,July,29,16,1,3,1,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242,,0,Transient,135,0,0,Check-Out,20-07-2015
Resort Hotel,0,39,2015,July,30,20,1,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,241,,0,Transient,103.95,0,1,Check-Out,23-07-2015
Resort Hotel,0,13,2015,July,31,29,0,1,2,1,0,BB,USA,Direct,Direct,0,0,0,A,C,0,No Deposit,250,,0,Transient,168,0,2,Check-Out,30-07-2015
Resort Hotel,0,69,2015,August,33,9,1,0,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,242,,0,Transient,134,0,0,Check-Out,10-08-2015
Resort Hotel,0,74,2015,August,33,9,1,0,2,0,0,BB,USA,Direct,Direct,0,0,0,A,E,0,No Deposit,250,,0,Transient,134,0,0,Check-Out,10-08-2015
Resort Hotel,0,71,2015,August,33,12,2,6,2,0,0,HB,USA,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,198,1,0,Check-Out,20-08-2015
Resort Hotel,0,49,2016,August,36,29,2,5,2,0,0,HB,USA,Direct,Direct,1,0,1,D,D,1,No Deposit,250,,0,Transient,218.6,1,0,Check-Out,05-09-2016
Resort Hotel,0,41,2015,August,34,19,0,2,3,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,F,2,No Deposit,242,,0,Transient,219.3,0,2,Check-Out,21-08-2015
Resort Hotel,0,70,2015,August,34,17,3,5,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,E,D,0,No Deposit,241,,0,Transient,119.97,0,1,Check-Out,25-08-2015
Resort Hotel,0,75,2015,August,34,22,2,1,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,D,E,0,No Deposit,36,,0,Transient,118.13,0,0,Check-Out,25-08-2015
Resort Hotel,0,0,2015,August,35,26,0,1,1,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,153,0,0,Check-Out,27-08-2015
Resort Hotel,0,37,2015,August,35,23,2,3,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,241,,0,Transient,132.44,0,2,Check-Out,28-08-2015
Resort Hotel,0,49,2015,August,35,25,0,3,2,0,1,HB,USA,Offline TA/TO,TA/TO,0,0,0,E,F,0,No Deposit,142,,0,Transient,177.47,1,2,Check-Out,28-08-2015
Resort Hotel,0,193,2015,August,35,23,2,3,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,241,,0,Transient,103.95,0,1,Check-Out,28-08-2015
Resort Hotel,0,32,2015,August,35,23,2,4,1,1,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,241,,0,Transient,154.71,0,1,Check-Out,29-08-2015
Resort Hotel,0,0,2015,August,35,28,0,1,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,,,0,Transient,153,0,1,Check-Out,29-08-2015
Resort Hotel,0,13,2015,August,36,30,2,1,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,F,G,0,No Deposit,36,,0,Transient,120.79,1,0,Check-Out,02-09-2015
Resort Hotel,0,37,2015,September,36,2,0,2,3,0,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,3,No Deposit,241,,0,Transient,117.81,1,1,Check-Out,04-09-2015
Resort Hotel,0,89,2015,September,37,8,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,240,,0,Transient,97,0,1,Check-Out,10-09-2015
Resort Hotel,0,0,2015,September,38,16,0,1,1,0,0,BB,USA,Direct,Direct,0,0,0,A,C,0,No Deposit,250,,0,Group,65,0,0,Check-Out,17-09-2015
Resort Hotel,0,172,2015,September,38,14,2,5,2,0,0,HB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,69,,0,Contract,72.25,0,1,Check-Out,21-09-2015
Resort Hotel,0,179,2015,September,39,21,3,6,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,69,,0,Contract,60.15,0,0,Check-Out,30-09-2015
Resort Hotel,0,37,2015,September,39,21,1,3,2,2,0,BB,USA,Direct,Direct,0,0,0,G,G,0,No Deposit,250,,0,Transient,135,1,0,Check-Out,25-09-2015
Resort Hotel,0,81,2015,September,39,22,0,4,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242,,0,Transient,97,1,1,Check-Out,26-09-2015
Resort Hotel,0,38,2015,October,40,2,4,7,2,2,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,240,,0,Transient,115,0,1,Check-Out,13-10-2015
Resort Hotel,0,1,2015,October,42,13,0,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240,,0,Transient,66,0,1,Check-Out,14-10-2015
Resort Hotel,0,130,2015,October,42,16,0,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,F,E,0,No Deposit,241,,0,Transient,92.4,0,0,Check-Out,18-10-2015
Resort Hotel,0,0,2015,October,43,21,0,2,1,0,0,BB,USA,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,240,,0,Transient,106,0,0,Check-Out,23-10-2015
Resort Hotel,0,109,2015,November,46,13,0,1,2,0,0,BB,USA,Direct,Direct,0,0,0,F,F,1,No Deposit,,,0,Transient,74.8,0,2,Check-Out,14-11-2015
Resort Hotel,0,36,2015,November,45,7,2,6,1,0,0,BB,USA,Corporate,Corporate,0,0,0,A,A,1,No Deposit,185,281,0,Transient-Party,36,0,0,Check-Out,15-11-2015
Resort Hotel,0,12,2015,November,45,3,3,10,2,0,0,BB,USA,Corporate,Corporate,0,0,0,A,A,0,No Deposit,328,281,0,Transient-Party,48,0,0,Check-Out,16-11-2015
Resort Hotel,0,5,2015,November,48,22,2,0,1,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,,0,Transient,40,0,1,Check-Out,24-11-2015
Resort Hotel,0,0,2015,December,53,27,1,0,2,0,0,BB,USA,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,71,1,0,Check-Out,28-12-2015
Resort Hotel,0,58,2015,December,52,23,2,4,2,0,0,BB,USA,Direct,Direct,0,0,0,E,E,1,No Deposit,250,,0,Transient,58,0,1,Check-Out,29-12-2015
Resort Hotel,0,0,2015,December,53,28,1,0,2,0,0,BB,USA,Direct,Direct,0,0,0,A,F,0,No Deposit,,,0,Transient,75,0,0,Check-Out,29-12-2015
Resort Hotel,0,29,2015,December,52,23,2,5,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,96,,0,Transient,71,0,1,Check-Out,30-12-2015
Resort Hotel,0,2,2015,December,53,31,0,3,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241,,0,Transient,72.93,0,0,Check-Out,03-01-2016
Resort Hotel,0,17,2016,January,1,2,2,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240,,0,Transient,57.2,0,1,Check-Out,05-01-2016
Resort Hotel,0,0,2016,January,2,8,0,1,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,36,,0,Transient,31.2,0,0,Check-Out,09-01-2016
Resort Hotel,0,0,2016,January,2,4,2,5,2,0,0,BB,USA,Direct,Direct,0,0,0,A,D,5,No Deposit,,,0,Transient,48,0,0,Check-Out,11-01-2016
Resort Hotel,0,11,2016,January,2,8,1,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241,,0,Transient,69.2,1,1,Check-Out,11-01-2016
Resort Hotel,0,3,2016,January,2,8,1,2,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,52.8,0,0,Check-Out,11-01-2016
